A,B,C
5728,-94695014217666.0,-3.17
493,51936802.545126,8.0
9100,47169.226321239,-91477917720.3
1191,-116966168.1,-920055733551389.0
3508,-73.446876,962461838186.8
54,13530513.95948,-2855.733229141
9388,57878173380.54,-740412.314669
8483,-8448251205.23,-22876.0
3173,6.3828915,-83.0
7274,-4594885527926.7,-948440996345156.0
8,-25679572.5161,77212223.5561588
4042,4682.15358639,8912.43826702822
1109,-3583326342.19,772.0
6531,3406.3691,-34.3865724525455
5009,-785946.765489,38597.6
3492,-3140808160191.1,-9.2436
8653,87431638.8865,582167461.1819
6274,-322234181014073.0,23327.7413306
4113,-2.0,-8.9930453
7632,-3.5213208,81.4169673755728
4245,741901562784.882,-1.8721
9587,82127.6,-45715.264208
545,4.1338431023129,79699448075.89
6991,68041223296.0,918627836.8
3725,6548046.184,731656002503.6
908,-150127948.49121,6880137012.1
8030,-247925.6264766,69686717.611
1926,985073739.303,96803002003.1
6806,205.13,-8359097659.4
6060,-15.467013,-1915.100837007
4917,-274091.5822807,41807969069.542
716,9020510550.7,-2.86496759723
3758,8394281.610202,-952708413029478.0
6235,71218014928.0,8740907.0
1955,97591669534116.0,118446.2939296
5309,207922291079.2,189.87121
555,397796451.65,836.4
1226,4353100.6,6288.326275576
5633,-1454502194.8,917599.742349
6897,796654498.3,7754605165.78
8300,57709.6126,3752729.149218
5254,77358899935.557,-30528800023080.0
8790,9616064111.0,6789.0
5685,90482717.36,-9371.250774
7867,-643.19301757873,-618.8834032468
4350,5575266986.2,-994697805294713.0
4685,192986781971.88,78608925.64552
851,-10.75563199067,395740.592
7648,272483688776.36,26918.181605
199,-0.44973,514201.1283671
1097,53266.53,582656777.26086
840,4361288507115.8,-18.35
1873,-66684863926.445,119601174782.9
6074,43229858457.6,15691475.383
8084,26717145525.2,27269.16377
1322,37409879440.0,-149711887963.0
9143,5301417411.6452,-6003438687756.88
3124,53646742.55,-8525435869335.94
1194,98014418645.41,-17926873.7010095
6435,-3960237144138.0,9959847.98
6192,7271.6321,-459764309624.0
1528,-269807135469.0,-4021142055472.0
5956,-5335773.2618,1043007019172.1
2456,9436.95851713,-24249727959.531
1320,31390850.4377,-8574203.612696
5331,6659447565036.0,1510035726273.2
9504,-40932551.64532,488.83528
9657,77226739948372.0,786458348.6996
7630,-8883881558.0,-87267.3
7107,-587.24758,-46.82336169045
9529,9268570258.8902,519227813255342.0
8115,3382.292,62750784203716.0
9118,-8.39,9426195736.17
8490,-5120161512741.0,291645040.5683
5583,-844207446525607.0,-1213393910449.3
9742,-9184568.9,-6208.0
2039,-2064607129.28216,-416.16499383
3191,-150073246.0,-716264880.18
4262,9079.2968396,423421824275050.0
620,-5439627989533.0,-55872.9069144679
1038,-3773037866.0,1173809735.5
6015,-97449023356.3,-170916111106905.0
7782,72182.81711,951.118075
5174,4809576.76,735978277643356.0
6567,-57.459115,-2819870667.45
290,-182404650346.106,-82.2381
6202,-32293045.739,522.84159
8489,-75394659272.83,4531003.0
1055,-98285.2891,-149.698741185
4912,459476155667.9,-198192897965.645
2393,-800450328.54628,7977.2679
6652,-630683944929948.0,805.8
5627,97156909377258.2,-596.5156889042
4379,8054.2698,658665646477.0
6557,4590154404822.54,7487066747.604
799,-206.4199752,29.8
2206,-4732537901.2,-4435251.9163
6777,2052.5001,-4153095238008.0
4014,44268786.732143,286546068109835.0
4849,65068154102.0,-955665730263483.0
2321,-89666340.17296,19747006950.0
1275,-65425.0,-2006171707.36
7667,-7702931164313.0,-6.5
7292,5524436.82520914,-249225625552337.0
3844,-265026080029.0,-80296.4210232
9411,-454532851.8,360186.0
1200,-6002108.3,810416256378552.0
7047,213205474.79,-74338806.814
7417,-737415409235812.0,79.7755214511
7008,-29318102588.5076,983621174299.4
6987,99927.119264354,5603221.84196954
662,1498905669916.0,-42500829.56
3390,7763084414.5,7383212336076.33
2194,-1810038302489.6,-5095083.4186
9883,43827098759338.0,-158.3139
2700,-2500623382084.0,6672574580.9849
3662,57623008226.999,-3389811618131.31
2557,-1.0,-1.139562443611
49,-53223712.378307,546295112040.7
5453,5144.144018,77264326032144.0
5856,121093651238036.0,-7424.465
5297,4011271323.5875,56.3663082
4200,-6615545430739.1,45709275745632.7
4649,-76056169.472615,-9431047267.7124
1015,899.8011318636,843601350.22
3151,-712774867043639.0,-5.57969139
6144,-236018.16288803,1805394634364.71
9737,-80795455.0,73.53147
1578,157556721935726.0,-208099763715882.0
5299,-64826107.4,-675370967646576.0
2078,9.74,669.8229318116
1330,-506492158646789.0,255008.1
7853,239946981.37,-7159726885610.8
7541,52472505.7,242689411078155.0
8324,-1.77,-302289374085284.0
3531,25982117.41488,91501.3227307
56,788798.281,86980368977995.0
191,-36287067.87,23144452570620.0
3383,747039.2704991,316441.0
7300,608.5575093406,-23.68679
8364,-38682.24816,-966287589649.6
7777,833197.9,-48.0
9871,-42.816,836749884116.79
7057,-9462891640502.3,-824832.0
8745,1997937610.0,-932989515.827
7857,683375536.4976,-32073.9718928
6252,-9276544202.27877,-9229463.875944
8751,-874354120530465.0,-481024109537235.0
7919,9115239.99406681,-576019790.691858
1465,-82841419951.0,-93016221050.856
6492,-6993.905418229,-5476728.76877
526,-5372279803459.6,1632752678653.1
320,11100256562331.0,-825918.4158183
178,-3784.755,-5.218
9316,-771839.192,-52361.845003
1616,72245071.67432,6.9
7719,0.94157262081,-3102437712046.0
1340,-530346857750.0,12821445.88
7075,81175447.0,-2.598425071824
7523,3245859906.19,3762656042718.0
8190,788297.65035,394929977888330.0
7641,-36556645.84,-1302956.4263309
8380,-871425713379.622,-7.73561
4059,-120904057676.0,-654014520249298.0
9973,-78494731.6733836,37341687880228.7
2419,3412001.0,4417102848669.0
8342,5923853.106212,13.33
9875,-78.5152457917299,90378452177.66
9653,812552102667564.0,769655790610.5
5565,25096301.0,771791055372652.0
9936,74949414958818.0,41453808901.667
5540,-411377964.568,-4373918041545.9
5339,-708269.922,9172228856.5
6807,-974769297744.0,-66018.15
6693,354199462094401.0,-4708046036234.0
869,-39334502684633.0,-10549.83650188
8212,5.967,63384298.0
9044,-46407.8,-47.706926
1869,686939371534000.0,-6066584589.87
9557,79603560216617.0,9700682.677565
2510,90.4622852756,-161.53507
6669,-638260433457420.0,-29149.1625640032
4886,-42408.3037704073,22438.124086009
6012,81136169.68215,-4.9961602
5069,174159.9062313,60594603520.65
2782,-4563831973.421,38923549542621.0
8698,4862725.42,577119.2821
8761,30325662.574909,-223941611100598.0
4579,-69753121.6312,-7402368781.1654
3069,33.42055648658,-166928.822303
8995,-613398.35655294,92011.845
9383,-108219715.41,-620455987.231017
1490,-908.0,851475.68812
582,-0.882502623902,-833.0
1680,940588837450.9,-3148842833.41
6168,-2.4,-45867451715.6
3870,-7350.859315,-43147.0
814,86.0,43596096821.983
4088,6153116.9934,-86011139633638.2
4305,-714215914994975.0,-38568.16095072
5248,-976066323.419,89797476747731.6
641,-4519280619723.2,-285947844887623.0
2532,-10543334482.6442,3856645.66573587
4393,-491889220235.0,-61626560734721.7
2383,-4.3,-156626.9
1929,-3.4988443166087,50.5
3097,233325847911.42,386171238331927.0
1643,-960664.679874,-569249242.6221
7519,-521924484.0,-9024136926.1
9702,51056146463.0,-815335905256286.0
5478,-939844324955.0,-8.0
5085,-4089706914.0,8146658048234.59
1923,-438090520256.2,1772369994871.3
6932,247342074702.0,499979067129.69
4546,-36.2098426317683,-53866.9559
8814,-970079.5746984,-95144930485774.0
4940,124479445.886653,263217607317301.0
5118,-3.0,-49301665747.5
1717,-754047961.0,981517922677.95
8997,-115413600518.42,-342875437598.187
4906,-7936.7246587,-71.124901
2159,3.7698383548,-7.583318097298
6540,943219.981775963,-8455587.74
9297,-765259487731604.0,-29.72273175
4791,86102839794929.1,5562474919.0
1546,4335420194286.1,-3700064.630145
6603,56241580541.0,-7405.985
7299,-17913.89,2795059782573.0
7874,-76675991.0,-35270074.7361635
3202,-86.2,-26556657.0
6182,721953814495.96,-41323674699.0
9154,13543751482.85,8232.2504
8589,-3208167705.24675,94904800682.4
2340,-6840185480460.0,-1910.70149888
7892,-10174.29,-25168599089.8093
7938,636.7,-9.392299937716
7419,-942843275.569743,-702590626784443.0
5680,-1.38233,-6.0
3365,116901.7994,-2381127.5299
9892,-5367466023.27285,-127208250272.7
5018,-776.188343459,-5838090.4292701
4106,77994205371295.0,918.84
417,-90444199.9382,9987433.5715
6119,7823.6,-208349173429.9
2813,1999495462.391,-7899013.7653074
4553,-992.0,8151925.54
3238,749132105165.0,51324114086.2
2869,10664454773368.0,-67643130710.9376
4802,-71172039.0,671404.5603585
3608,6888132541387.5,754548.908
6261,-205500.31184623,8952618.2971793
9017,3.7676,789198121444531.0
9855,-8988663.321742,-84855.9
5331,-282689779.184,-115460078481.45
763,-285452505674.3,52551883623181.0
4268,-28749803.224,-34689772.234409
2315,-19344902274.2217,60.5072795898734
218,9166490262.5831,-596259362728.0
9334,-20851662.4,-3.0
8750,7387052210.97648,-85567504.38094
6703,22059.4396806,261540204632095.0
4276,-324161672.46632,521962570533.2
6771,7.832229936,-20382663858355.4
7006,0.45,248529530.483
3539,-3852963.90605,-864468355791.948
1733,-370217205.0,3509.642782
5390,722622887.5799,53218121508182.0
3631,44941.44945,90424966789.0
