YEAR,Gender,RANK,Name,Count
2005,Female,1,EMILY,3268
2005,Female,2,ASHLEY,2770
2005,Female,3,SAMANTHA,2483
2005,Female,4,ISABELLA,2333
2005,Female,5,MIA,2172
2005,Female,6,NATALIE,2035
2005,Female,7,SOPHIA,1876
2005,Female,8,EMMA,1626
2005,Female,9,ALYSSA,1612
2005,Female,10,MADISON,1523
2005,Female,11,JASMINE,1519
2005,Female,12,ELIZABETH,1479
2005,Female,13,JESSICA,1406
2005,Female,14,KIMBERLY,1397
2005,Female,15,ABIGAIL,1368
2005,Female,16,BRIANNA,1347
2005,Female,17,JENNIFER,1291
2005,Female,18,AVA,1223
2005,Female,19,HANNAH,1217
2005,Female,20,SARAH,1208
2005,Female,21,ALEXIS,1201
2005,Female,22,ANDREA,1197
2005,Female,23,ANGELINA,1175
2005,Female,24,STEPHANIE,1152
2005,Female,25,VANESSA,1151
2005,Male,1,DANIEL,3889
2005,Male,2,ANTHONY,3714
2005,Male,3,ANGEL,3538
2005,Male,4,DAVID,3243
2005,Male,5,JOSHUA,3203
2005,Male,6,JOSE,3187
2005,Male,7,ANDREW,3136
2005,Male,8,JACOB,3095
2005,Male,9,MATTHEW,2841
2005,Male,10,MICHAEL,2730
2005,Male,11,JONATHAN,2631
2005,Male,12,CHRISTOPHER,2581
2005,Male,13,JOSEPH,2526
2005,Male,14,ALEXANDER,2436
2005,Male,15,NATHAN,2399
2005,Male,16,ETHAN,2354
2005,Male,17,RYAN,2323
2005,Male,18,DIEGO,2279
2005,Male,19,JUAN,2207
2005,Male,20,KEVIN,2188
2005,Male,21,BRANDON,2112
2005,Male,22,CHRISTIAN,2006
2005,Male,23,LUIS,1987
2005,Male,24,JESUS,1959
2005,Male,25,GABRIEL,1941
2006,Female,1,EMILY,3085
2006,Female,2,ISABELLA,2771
2006,Female,3,ASHLEY,2596
2006,Female,4,MIA,2425
2006,Female,5,SAMANTHA,2331
2006,Female,6,NATALIE,2218
2006,Female,7,SOPHIA,1958
2006,Female,8,EMMA,1540
2006,Female,9,ABIGAIL,1474
2006,Female,10,AVA,1467
2006,Female,11,MADISON,1433
2006,Female,12,ELIZABETH,1416
2006,Female,13,ALYSSA,1392
2006,Female,14,BRIANNA,1392
2006,Female,15,KIMBERLY,1390
2006,Female,16,JASMINE,1380
2006,Female,17,ANDREA,1308
2006,Female,18,JESSICA,1257
2006,Female,19,ALEXA,1233
2006,Female,20,OLIVIA,1202
2006,Female,21,HANNAH,1198
2006,Female,22,VALERIA,1187
2006,Female,23,ANGELINA,1156
2006,Female,24,SARAH,1152
2006,Female,25,JOCELYN,1143
2006,Male,1,DANIEL,3797
2006,Male,2,ANTHONY,3762
